Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
9856681,4.5735,2023/01/09 09:45:48,30.9,23.5,4.5717,2023/01/09 11:38:56,31.3,22.1,4.573,0.034,
9856682,4.5636,2023/01/09 09:46:08,30.9,23.5,4.5625,2023/01/09 11:39:20,31.3,22.1,4.563,0.018,
9856683,4.5587,2023/01/09 09:47:11,30.9,23.5,4.5576,2023/01/09 11:40:01,31.3,22.1,4.558,0.028,
9856684,4.5384,2023/01/09 09:48:00,30.9,23.5,4.5379,2023/01/09 11:40:36,31.3,22.1,4.538,0.017,
9856685,4.5539,2023/01/09 09:48:40,30.9,23.5,4.5529,2023/01/09 11:41:14,31.3,22.1,4.553,0.023,
9856686,4.5571,2023/01/09 09:49:20,30.9,23.5,4.5566,2023/01/09 11:41:48,31.3,22.1,4.557,0.027,
9856687,4.5453,2023/01/09 09:50:08,30.9,23.5,4.5453,2023/01/09 11:42:21,31.3,22.1,4.545,0.034,
9856688,4.5358,2023/01/09 09:51:08,30.9,23.5,4.5360,2023/01/09 11:42:47,31.3,22.1,4.536,0.015,
9856689,4.5963,2023/01/09 09:51:48,30.9,23.5,4.5964,2023/01/09 11:43:17,31.3,22.1,4.596,0.072,
9856690,4.5582,2023/01/09 09:52:24,30.9,23.5,4.5581,2023/01/09 11:43:55,31.3,22.1,4.558,0.018,
9856691,4.5466,2023/01/09 09:53:18,30.9,23.5,4.5464,2023/01/09 11:44:25,31.3,22.1,4.547,0.032,
QC,5.0000,2023/01/09 09:53:42,28.1,23.4,5.0000,2023/01/09 11:44:42,29.3,22,5.000,5.000,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
